epoch,dice_coefficient,loss
0,0.9630137085914612,0.06363733112812042
1,0.9947044849395752,0.005688605364412069
2,0.9962785840034485,0.003954916261136532
3,0.9971024394035339,0.003089885925874114
4,0.9975893497467041,0.0025792920496314764
5,0.9978958964347839,0.002251589437946677
6,0.9981147646903992,0.002010761760175228
7,0.9982841610908508,0.001822357764467597
8,0.9984204769134521,0.0016720662824809551
9,0.998526930809021,0.0015545639907941222
